timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,tcp_flags,payload
10:00:01,192.168.1.10,192.168.1.1,50100,80,TCP,500,ACK,normal web request
10:00:02,192.168.1.20,192.168.1.1,50200,443,TCP,700,ACK,normal https request
10:01:10,192.168.1.50,192.168.1.1,40000,20,TCP,300,SYN,port probe login attempt
10:01:11,192.168.1.50,192.168.1.1,40001,21,TCP,300,SYN,port probe login attempt
10:01:12,192.168.1.50,192.168.1.1,40002,22,TCP,300,SYN,port probe login attempt
10:01:13,192.168.1.50,192.168.1.1,40003,23,TCP,300,SYN,port probe login attempt
10:01:14,192.168.1.50,192.168.1.1,40004,24,TCP,300,SYN,port probe login attempt
10:01:15,192.168.1.50,192.168.1.1,40005,25,TCP,300,SYN,port probe login attempt
10:01:16,192.168.1.50,192.168.1.1,40006,26,TCP,300,SYN,port probe login attempt
10:01:17,192.168.1.50,192.168.1.1,40007,27,TCP,300,SYN,port probe login attempt
10:01:18,192.168.1.50,192.168.1.1,40008,28,TCP,300,SYN,port probe login attempt
10:01:19,192.168.1.50,192.168.1.1,40009,29,TCP,300,SYN,port probe login attempt
10:01:20,192.168.1.50,192.168.1.1,40010,30,TCP,300,SYN,port probe login attempt
10:01:21,192.168.1.50,192.168.1.1,40011,31,TCP,300,SYN,port probe login attempt
10:01:22,192.168.1.50,192.168.1.1,40012,32,TCP,300,SYN,port probe login attempt
10:01:23,192.168.1.50,192.168.1.1,40013,33,TCP,300,SYN,port probe login attempt
10:01:24,192.168.1.50,192.168.1.1,40014,34,TCP,300,SYN,port probe login attempt
10:02:0,10.0.0.8,192.168.1.100,45000,80,TCP,600,SYN,syn flood traffic
10:02:1,10.0.0.8,192.168.1.100,45001,80,TCP,600,SYN,syn flood traffic
10:02:2,10.0.0.8,192.168.1.100,45002,80,TCP,600,SYN,syn flood traffic
10:02:3,10.0.0.8,192.168.1.100,45003,80,TCP,600,SYN,syn flood traffic
10:02:4,10.0.0.8,192.168.1.100,45004,80,TCP,600,SYN,syn flood traffic
10:02:5,10.0.0.8,192.168.1.100,45005,80,TCP,600,SYN,syn flood traffic
10:02:6,10.0.0.8,192.168.1.100,45006,80,TCP,600,SYN,syn flood traffic
10:02:7,10.0.0.8,192.168.1.100,45007,80,TCP,600,SYN,syn flood traffic
10:02:8,10.0.0.8,192.168.1.100,45008,80,TCP,600,SYN,syn flood traffic
10:02:9,10.0.0.8,192.168.1.100,45009,80,TCP,600,SYN,syn flood traffic
10:02:10,10.0.0.8,192.168.1.100,45010,80,TCP,600,SYN,syn flood traffic
10:02:11,10.0.0.8,192.168.1.100,45011,80,TCP,600,SYN,syn flood traffic
10:02:12,10.0.0.8,192.168.1.100,45012,80,TCP,600,SYN,syn flood traffic
10:02:13,10.0.0.8,192.168.1.100,45013,80,TCP,600,SYN,syn flood traffic
10:02:14,10.0.0.8,192.168.1.100,45014,80,TCP,600,SYN,syn flood traffic
10:02:15,10.0.0.8,192.168.1.100,45015,80,TCP,600,SYN,syn flood traffic
10:02:16,10.0.0.8,192.168.1.100,45016,80,TCP,600,SYN,syn flood traffic
10:02:17,10.0.0.8,192.168.1.100,45017,80,TCP,600,SYN,syn flood traffic
10:02:18,10.0.0.8,192.168.1.100,45018,80,TCP,600,SYN,syn flood traffic
10:02:19,10.0.0.8,192.168.1.100,45019,80,TCP,600,SYN,syn flood traffic
10:02:20,10.0.0.8,192.168.1.100,45020,80,TCP,600,SYN,syn flood traffic
10:02:21,10.0.0.8,192.168.1.100,45021,80,TCP,600,SYN,syn flood traffic
